[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: GeForce GTX 1070
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.9
   2000				1.7
   3000				2.4
   4000				3.0
   5000				3.6
   6000				4.1
   7000				4.5
   8000				4.9
   9000				5.3
   10000			5.6
   11000			5.9
   12000			6.2
   13000			6.6
   14000			6.8
   15000			7.0
   16000			7.2
   17000			7.4
   18000			7.6
   19000			7.7
   20000			7.9
   22000			8.2
   24000			8.5
   26000			8.7
   28000			8.9
   30000			9.1
   32000			9.3
   34000			9.5
   36000			9.6
   38000			9.7
   40000			9.9
   42000			10.0
   44000			10.1
   46000			10.2
   48000			10.3
   50000			10.4
   60000			10.7
   70000			11.0
   80000			11.2
   90000			11.4
   100000			11.6
   200000			12.2
   300000			12.5
   400000			12.6
   500000			12.7
   600000			12.7
   700000			12.7
   800000			12.8
   900000			12.8
   1000000			12.8
   2000000			12.9
   3000000			12.9
   4000000			12.9
   5000000			12.9
   6000000			12.9
   7000000			12.9
   8000000			12.8
   9000000			12.9
   10000000			12.9
   11000000			12.9
   12000000			12.9
   13000000			12.9
   14000000			12.9
   15000000			12.9
   16000000			12.9
   18000000			12.9
   20000000			12.9
   22000000			13.0
   24000000			12.9
   26000000			13.0
   28000000			12.9
   30000000			12.9
   32000000			13.0
   36000000			13.0
   40000000			13.0
   44000000			12.9
   48000000			13.0
   52000000			12.9
   56000000			12.9
   60000000			13.0
   64000000			12.9
   68000000			13.0

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				1.5
   2000				2.7
   3000				3.7
   4000				4.6
   5000				5.3
   6000				5.8
   7000				6.3
   8000				6.8
   9000				7.2
   10000			7.5
   11000			7.8
   12000			8.1
   13000			8.4
   14000			8.5
   15000			8.8
   16000			9.0
   17000			9.1
   18000			9.3
   19000			9.4
   20000			9.6
   22000			9.7
   24000			10.0
   26000			10.2
   28000			10.4
   30000			10.5
   32000			10.6
   34000			10.8
   36000			10.9
   38000			11.0
   40000			11.1
   42000			11.2
   44000			11.2
   46000			11.3
   48000			11.4
   50000			11.4
   60000			11.7
   70000			11.9
   80000			12.1
   90000			12.2
   100000			12.2
   200000			12.7
   300000			12.8
   400000			12.9
   500000			13.0
   600000			13.0
   700000			13.0
   800000			13.0
   900000			13.1
   1000000			13.0
   2000000			13.1
   3000000			13.0
   4000000			13.1
   5000000			13.1
   6000000			13.1
   7000000			13.1
   8000000			13.2
   9000000			13.2
   10000000			13.1
   11000000			13.2
   12000000			13.2
   13000000			13.2
   14000000			13.2
   15000000			13.2
   16000000			13.2
   18000000			13.2
   20000000			13.2
   22000000			13.2
   24000000			13.2
   26000000			13.1
   28000000			13.2
   30000000			13.2
   32000000			13.2
   36000000			13.2
   40000000			13.2
   44000000			13.1
   48000000			13.2
   52000000			13.1
   56000000			13.2
   60000000			13.1
   64000000			13.2
   68000000			13.2

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(GB/s)
   1000				0.7
   2000				1.4
   3000				2.4
   4000				4.6
   5000				5.8
   6000				6.8
   7000				7.6
   8000				8.9
   9000				9.7
   10000			10.6
   11000			9.9
   12000			12.5
   13000			13.4
   14000			14.4
   15000			14.9
   16000			15.7
   17000			20.0
   18000			21.4
   19000			22.6
   20000			23.8
   22000			26.0
   24000			28.5
   26000			30.7
   28000			32.6
   30000			35.1
   32000			38.3
   34000			40.2
   36000			41.6
   38000			42.6
   40000			47.1
   42000			49.0
   44000			52.3
   46000			54.7
   48000			58.2
   50000			59.2
   60000			70.5
   70000			81.7
   80000			98.1
   90000			103.7
   100000			113.3
   200000			213.9
   300000			285.6
   400000			286.8
   500000			332.5
   600000			369.9
   700000			399.1
   800000			431.6
   900000			448.1
   1000000			473.6
   2000000			180.0
   3000000			187.2
   4000000			192.4
   5000000			195.5
   6000000			196.8
   7000000			198.0
   8000000			198.8
   9000000			195.4
   10000000			200.9
   11000000			201.6
   12000000			202.2
   13000000			202.6
   14000000			202.7
   15000000			202.3
   16000000			201.6
   18000000			203.9
   20000000			203.9
   22000000			204.2
   24000000			204.7
   26000000			204.6
   28000000			204.7
   30000000			203.2
   32000000			204.8
   36000000			204.7
   40000000			205.3
   44000000			205.7
   48000000			205.3
   52000000			205.8
   56000000			206.0
   60000000			206.1
   64000000			205.5
   68000000			206.2

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
